Year,Medals won by Female,Medals won by Male
1896,0,143
1900,13,591
1904,10,476
1906,6,452
1908,16,815
1912,30,911
1920,44,1264
1924,52,910
1928,103,720
1932,68,671
1936,97,928
1948,116,871
1952,158,875
1956,171,872
1960,195,863
1964,246,969
1968,261,995
1972,295,1119
1976,440,1091
1980,485,1117
1984,548,1150
1988,617,1228
1992,691,1339
1994,108,223
1996,764,1078
1998,189,251
2000,880,1124
2002,208,270
2004,898,1103
2006,231,295
2008,932,1116
2010,229,291
2012,918,1023
2014,265,332
2016,969,1054
